nazwa,dzielnica,pokoj,metry,cena_metr,cena
"Mieszkanie, 65 m², Kraków"," Kraków, Grzegórzki",3 pokoje,65 m²,12 892 zł/m²,838000zł
Do sprzedaży 3 pokojowe mieszkanie przy Wawelu.," Kraków, Stare Miasto",3 pokoje,79 m²,10 127 zł/m²,800000zł
Wyjatkowe mieszkanie w ok. Biprostal," Kraków, Krowodrza",3 pokoje,82 m²,10 900 zł/m²,893800zł
Bronowice - nowoczesne apartamenty," Kraków, Bronowice Wielkie",6 pokoi,"149,11 m²",5 365 zł/m²,800000zł
ANGEL CITY z widokiem na patio," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
"4 pokojowe, 84m2, Salwator, Królowej Jadwigi"," Kraków, Salwator",4 pokoje,"83,75 m²",9 552 zł/m²,800000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
"Mieszkanie, 63,91 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"63,91 m²",13 143 zł/m²,840000zł
Krowodrza trzypokojowy apartament z garażem," Kraków, Krowodrza",3 pokoje,65 m²,13 077 zł/m²,850000zł
Apartament 2 pokojowy," Kraków, Krowodrza",2 pokoje,"76,94 m²",11 437 zł/m²,880000zł
"Mieszkanie, 78,50 m², Kraków"," Kraków, Stare Miasto",3 pokoje,"78,50 m²",10 828 zł/m²,850000zł
3 POK.| Topolowa | Stare Miasto | 78 m2 |," Kraków, Stare Miasto",3 pokoje,78 m²,10 897 zł/m²,850000zł
Salwator - mieszkanie w kameralnej kamienicy," Kraków, Salwator",3 pokoje,98 m²,8 163 zł/m²,800000zł
Dwupoziomowe mieszkanie na południu Krakowa!," Kraków, Łagiewniki-Borek Fałęcki",5 pokoi,106 m²,8 113 zł/m²,860000zł
"Mieszkanie 91 M 2 ,Kraków Mogilska"," Kraków, małopolskie",4 pokoje,91 m²,9 879 zł/m²,899000zł
Duże 5 pok. 103 m2 [aleja 29 listopada]," Kraków, Śródmieście",5 pokoi,103 m²,7 767 zł/m²,800000zł
Niedrogo w cennej lokalizacji," Kraków, Olsza",5 pokoi,"106,96 m²",7 556 zł/m²,808144zł
