nazwa,dzielnica,pokoj,metry,cena_metr,cena
"Mieszkanie 2 pok, 35m, Radzikowskiego, Azory"," Kraków, Krowodrza",2 pokoje,35 m²,9 400 zł/m²,329000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Ruczaj Mieszkanie 37M2 Z Dużym Balkonem," Kraków, Ruczaj",2 pokoje,37 m²,8 649 zł/m²,320000zł
Stare Miasto - wykończone w wysokim standardzie !!," Kraków, Stare Miasto",2 pokoje,32 m²,16 000 zł/m²,512000zł
Piękne mieszkanie w Krakowie," Kraków, Bronowice",1 pokój,"37,46 m²",7 847 zł/m²,"293945,35zł"
"2 pok./ balkon/ 53,50 M 2/do wejścia/ Łagiewniki"," Kraków, Łagiewniki",2 pokoje,"53,50 m²",6 579 zł/m²,352000zł
3 pok/51 m2/ Balkon/Garaż/ Bieńczyce/Okulickiego," Kraków, Bieńczyce",3 pokoje,51 m²,7 451 zł/m²,380000zł
3 pok./60 m2 /balkon/Łagiewniki /ul. Do Wilgi/2009," Kraków, Łagiewniki",3 pokoje,60 m²,7 333 zł/m²,440000zł
24 m2 do wejścia Stare Miasto ul. Łazarza," Kraków, Stare Miasto",1 pokój,"24,50 m²",12 612 zł/m²,309000zł
3 pok./ 44 M 2 /Bronowice / Bronowicka .," Kraków, Bronowice",3 pokoje,44 m²,7 932 zł/m²,349000zł
Okazja! 2 pok 50 m2 Stare Miasto ul. Kątowa," Kraków, Stare Miasto",2 pokoje,50 m²,7 400 zł/m²,370000zł
3 pok./52 m2/do wejścia/Prądnik Czerwony/Bitschana," Kraków, Prądnik Czerwony",3 pokoje,"52,50 m²",6 476 zł/m²,340000zł
2 pok. /50 m2 / Balkon/ Kurdwanów/ ul. Bojki.," Kraków, Kurdwanów",2 pokoje,50 m²,5 980 zł/m²,299000zł
2 pok./50 m2/balkon/po remoncie/ul.Rydygiera.," Kraków, Rżąka",2 pokoje,"50,20 m²",6 355 zł/m²,319000zł
Okazja!/3 pok./51 m2/ balkon/ Prokocim/Bieżanowska," Kraków, Bieżanów",3 pokoje,"51,20 m²",5 469 zł/m²,280000zł
2pok./40m2/balkon/Podgórze Duchackie/Kordiana/2008," Kraków, Kurdwanów",2 pokoje,"40,20 m²",7 687 zł/m²,309000zł
Okazja! 2 pok/48 m2 /2 balkon / Podgórze Duchackie," Kraków, Kurdwanów",2 pokoje,48 m²,5 833 zł/m²,280000zł
Okazja! 2 pok/28 m2 /Balkon /Podgórze- Płaszów.," Kraków, Płaszów",2 pokoje,28 m²,7 321 zł/m²,205000zł
2 pok. po remoncie Prądnik Czerwony ul. Wieniawski," Kraków, Prądnik Czerwony",2 pokoje,26 m²,10 346 zł/m²,269000zł
Ul grzegorzecka grzegorzki karzimierz WLASCICIEL," Kraków, Grzegórzki",2 pokoje,32 m²,15 313 zł/m²,490000zł
Mieszkanie M4 w Krakowie," Kraków, Czyżyny",4 pokoje,"79,80 m²",7 018 zł/m²,560000zł
"Sprzedam mieszkanie przy ul. Zabłocie, 3 pokoje"," Kraków, Zabłocie",3 pokoje,"53,26 m²",9 369 zł/m²,499000zł
Pianissimo obok Wiślane Tarasy Grzegórzki 27m2," Kraków, Grzegórzki",1 pokój,27 m²,18 259 zł/m²,493000zł
Żabiniec 3-pokoje/64 m2," Kraków, Żabiniec",3 pokoje,64 m²,8 047 zł/m²,515000zł
Rakowicka/8 mieszkań na sprzedaż," Kraków, Śródmieście",>10 pokoi,250 m²,8 700 zł/m²,2175000zł
przestronne w centrum świetna lokalizacja," Kraków, Krowodrza",4 pokoje,"90,09 m²",8 425 zł/m²,759000zł
Kraków - Kordiana - Kurdwanów," Kraków, Kurdwanów",2 pokoje,"63,04 m²",5 711 zł/m²,360000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Atal Przybyszewskiego|Bronowice/Krowodrza|2 Pok.," Kraków, Bronowice",2 pokoje,"43,60 m²",10 550 zł/m²,460000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
"Mieszkanie 2 pok, 36 m2, Osiedle Kazimierzowskie"," Kraków, Nowa Huta",2 pokoje,"36,40 m²",6 291 zł/m²,229000zł
"Mieszkanie 3 pok, 60m2 Krowodrza, Radzikowskiego"," Kraków, Krowodrza",3 pokoje,60 m²,6 967 zł/m²,418000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Funkcjonalne mieszkanie dla Ciebie.," Kraków, Opatkowice",4 pokoje,"82,59 m²",4 290 zł/m²,354311zł
Przytulne 2 Oddzielne Pokoje | - Willa Wego 2016," Kraków, Krowodrza",2 pokoje,50 m²,8 400 zł/m²,420000zł
Nowa inwestycja deweloperska WOLA DUCHACKA Kraków," Kraków, Podgórze Duchackie",4 pokoje,107 m²,5 495 zł/m²,588000zł
Po remoncie 2 pokoje z widokiem os Kazimierzowskie," Kraków, Bieńczyce",2 pokoje,"37,50 m²",7 440 zł/m²,279000zł
5 pokoi na krakowskim kazimierzu," Kraków, Kazimierz",5 pokoi,"158,80 m²",7 300 zł/m²,1159240zł
"Przestronny, ekskluzywny apartament. Stare Miasto"," Kraków, Stare Miasto",1 pokój,"92,82 m²",14 975 zł/m²,1390000zł
Mieszkanie Bronowice kawalerka 24m2," Kraków, Bronowice",1 pokój,"23,72 m²",10 540 zł/m²,250000zł
"PROMOCJA ŚWIĄTECZNA-Mieszkanie ogródek 47,27m2"," Kraków, Swoszowice",2 pokoje,"55,24 m²",4 590 zł/m²,253552zł
"PROMOCJA ŚWIĄTECZNA - Gotowe Mieszkanie 81,24 m2"," Kraków, Swoszowice",4 pokoje,"81,24 m²",4 290 zł/m²,348520zł
"Górka Narodowa,Prądnik Biały 3p 66m2 Do Sprzedania"," Kraków, Prądnik Biały",3 pokoje,66 m²,5 606 zł/m²,370000zł
Piękny apartament. Olbrzymi taras BEZPOŚREDNIO‼️," Kraków, Prądnik Czerwony",4 pokoje,"86,50 m²",11 156 zł/m²,965000zł
Pełna infrastrutura w jednym miejscu-dla rodziny!," Kraków, Mistrzejowice",5 pokoi,87 m²,5 336 zł/m²,464200zł
